00-avengers-company_business,04-iGMM-company_business
"['technology', 'mobiles & accessories', 'electronics', 'consumer electronics', 'computers hardware', 'software and it', 'music', 'tablets', 'technology hardware and instruments', 'retail', 'artificial intelligence', 'laptops', 'software products']","['technology', 'mobiles & accessories', 'electronics']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'processors / chips']","['technology', 'software and it', 'laptops']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'computers hardware', 'video games / mobile games / tech games / casino games', 'artificial intelligence']","['energy', 'oil and gas', 'chemicals']"
"['financial services', 'investments', 'insurance']","['technology', 'internet or mobile app based business', 'software and it']"
"['communication services', 'internet or mobile app based business', 'social media', 'artificial intelligence', 'internet of things', 'advertising', 'technology', 'media', 'software and it', 'software products']","['ecommerce', 'internet or mobile app based business', 'cloud services']"
"['electric vehicles', 'cars', 'automobile', 'solar power devices', 'capital goods', 'power equipment', 'technology', 'passenger vehicles', 'batteries', 'electric vehicle charging station']","['electric vehicles', 'cars', 'automobile']"
"['ecommerce', 'internet or mobile app based business', 'cloud services', 'software and it', 'artificial intelligence', 'technology', 'consulting services', 'consumer services', 'software products', 'retail']","['communication services', 'internet or mobile app based business', 'social media']"
"['technology', 'internet or mobile app based business', 'software and it', 'software products', 'cloud services', 'artificial intelligence', 'internet of things', 'gaming', 'video games / mobile games / tech games / casino games', 'advertising', 'media']","['financial services', 'investments', 'insurance']"
"['energy', 'oil and gas', 'chemicals', 'oil refining', 'oil and gas pipeline transport', 'integrated oil and gas companies']","['technology', 'semiconductors', 'electronics']"
"['technology', 'software and it', 'laptops', 'video games / mobile games / tech games / casino games', 'gaming', 'internet or mobile app based business', 'computers hardware', 'tablets', 'cloud services', 'artificial intelligence', 'internet of things', 'media', 'electronics', 'consumer electronics', 'advertising']","['technology', 'semiconductors', 'electronics']"
"['retail', 'super markets', 'ecommerce', 'hypermarkets', 'consumer services']","['communication services', 'investments', 'internet or mobile app based business']"
"['financial services', 'banking services', 'investment banking', 'insurance', 'credit cards', 'wealth management', 'asset management', 'mortgage']","['financial services', 'banking services', 'credit cards']"
"['fashion and luxury goods', 'non-alcoholic beverages', 'clothing', 'jewellery', 'watches', 'fmcg', 'luxury goods', 'consumer goods', 'beverages']","['financial services', 'technology', 'software and it']"
"['retail', 'ecommerce', 'construction materials', 'consumer services']","['healthcare', 'medical equipment', 'pharmaceutical']"
"['healthcare', 'healthcare service', 'insurance', 'healthcare products']","['technology', 'electronics', 'semiconductors']"
"['technology', 'electronics', 'semiconductors', 'mobiles & accessories', 'cameras & accessories', 'tablets', 'home appliances', 'refrigerators', 'air conditioners', 'washing machines', ""tv's"", 'consumer electronics']","['healthcare', 'healthcare service', 'insurance']"
"['healthcare', 'medical equipment', 'pharmaceutical', 'fmcg', 'biotechnology', 'technology', 'healthcare products']","['retail', 'ecommerce', 'construction materials']"
"['financial services', 'technology', 'software and it', 'credit cards', 'digital payment solution services', 'business services', 'software products', 'artificial intelligence']","['fashion and luxury goods', 'non-alcoholic beverages', 'clothing']"
"['financial services', 'banking services', 'credit cards', 'asset management']","['financial services', 'banking services', 'investment banking']"
"['communication services', 'investments', 'internet or mobile app based business', 'advertising', 'media', 'gaming', 'video games / mobile games / tech games / casino games', 'artificial intelligence', 'software and it', 'software products', 'technology']","['retail', 'super markets', 'ecommerce']"
"['consumer defensive', 'fmcg', 'consumer non durables', 'beauty and personal care', 'personal care products', 'healthcare products']","['consumer defensive', 'fmcg', 'consumer non durables']"
"['communication services', 'broadcasting', 'television services', 'media', 'advertising', 'consumer services', ""tv's"", 'entertainment']","['consumer defensive', 'beverages', 'alcoholic beverages']"
"['energy', 'oil and gas', 'petrochemicals', 'natural gas generation', 'electricity generation', 'chemicals', 'plastics / plastic products']","['consumer defensive', 'fmcg', 'food products']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments']","['digital payment solution services', 'financial services', 'credit cards']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']","['healthcare', 'pharmaceutical', 'medical equipment']"
"['ecommerce', 'internet or mobile app based business', 'technology', 'software and it', 'business services', 'software products', 'retail', 'b2b services']","['ecommerce', 'internet or mobile app based business', 'technology']"
"['healthcare', 'pharmaceutical', 'medical equipment', 'biotechnology', 'healthcare service', 'technology', 'healthcare products']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['digital payment solution services', 'financial services', 'credit cards', 'technology', 'business services', 'artificial intelligence']","['technology', 'semiconductors', 'electronics']"
"['consumer defensive', 'fmcg', 'food products', 'beverages', 'dairy products', 'non-alcoholic beverages', 'chocolate & confectionery', 'coffee', 'consumer non durables', 'food and beverage', 'package foods']","['energy', 'oil and gas', 'petrochemicals']"
"['consumer defensive', 'beverages', 'alcoholic beverages', 'food products', 'fmcg', 'food and beverage']","['communication services', 'broadcasting', 'television services']"
"['technology', 'software and it', 'software products', 'software and it infrastructure', 'artificial intelligence']","['automobile', 'cars', 'capital goods']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['consumer defensive', 'beverages', 'non-alcoholic beverages']"
"['consumer cyclical', 'shoes', 'footwear', 'sports goods', 'consumer non durables']","['technology', 'network hardware and software', 'telecom equipment']"
"['consumer defensive', 'cosmetics', 'beauty and personal care', 'fmcg', 'consumer non durables', 'consumer goods']","['technology', 'electronics', 'semiconductors']"
"['financial services', 'banking services', 'investment banking']","['communication services', 'internet or mobile app based business', 'ecommerce']"
"['communication services', 'internet or mobile app based business', 'ecommerce', 'technology', 'investments']","['financial services', 'banking services', 'investment banking']"
"['technology', 'electronics', 'semiconductors', 'processors / chips', 'networking products / solutions', 'network hardware and software', 'software products', 'software and it']","['consumer defensive', 'cosmetics', 'beauty and personal care']"
"['technology', 'network hardware and software', 'telecom equipment', 'internet of things', 'computers hardware', 'software and it', 'communications equipment']","['consumer cyclical', 'shoes', 'footwear']"
"['consumer defensive', 'beverages', 'non-alcoholic beverages', 'fmcg', 'consumer non durables']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['automobile', 'cars', 'capital goods', 'passenger vehicles']","['technology', 'software and it', 'software products']"
"['technology', 'software and it', 'software products', 'cloud services', 'software and it infrastructure']","['energy', 'oil and gas', 'chemicals']"
"['technology', 'software and it', 'software products', 'software consulting services', 'software outsourcing services', 'business services', 'consulting services', 'outsourcing and staffing', 'artificial intelligence']","['consumer defensive', 'beverages', 'food products']"
