02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry,02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
consumer electronics,consumer electronics,consumer electronics,consumer electronics,oil & gas integrated,rental & leasing services,technology,technology,technology,technology,energy,technology,industrials
software—infrastructure,software—infrastructure,oil & gas integrated,software—infrastructure,drug manufacturersgeneral,telecom services,technology,technology,energy,technology,healthcare,technology,communication services
oil & gas integrated,oil & gas integrated,drug manufacturers—general,oil & gas integrated,specialty chemicals,railroads,energy,energy,healthcare,energy,basic materials,energy,industrials
internet content & information,internet content & information,home improvement retail,internet content & information,banks,internet content & information,communication services,communication services,consumer discretionary,communication services,financials,communication services,communication services
internet retail,internet retail,drug manufacturers—general,internet retail,other industrial metals & mining,electronic components,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,basic materials,consumer discretionary,technology
auto manufacturers,auto manufacturers,beverages—wineries & distilleries,auto manufacturers,household & personal products,insurance—life,consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,consumer staples,consumer discretionary,financials
financial conglomerates,financial conglomerates,banks,financial conglomerates,beverageswineries & distilleries,travel services,financials,financials,financials,financials,consumer staples,financials,consumer discretionary
semiconductors,semiconductors,oil & gas integrated,semiconductors,drug manufacturersgeneral,specialty chemicals,technology,technology,energy,technology,healthcare,technology,basic materials
internet content & information,internet content & information,credit services,internet content & information,tobacco,internet retail,communication services,communication services,financials,communication services,consumer staples,communication services,consumer discretionary
semiconductors,semiconductors,luxury goods,semiconductors,oil & gas integrated,oil & gas midstream,technology,technology,consumer discretionary,technology,energy,technology,energy
healthcare plans,healthcare plans,consumer electronics,healthcare plans,insurance brokers,banks,healthcare,healthcare,technology,healthcare,financials,healthcare,financials
credit services,credit services,household & personal products,credit services,other industrial metals & mining,chemicals,financials,financials,consumer staples,financials,basic materials,financials,basic materials
drug manufacturers—general,drug manufacturers—general,banks,drug manufacturers—general,household & personal products,computer hardware,healthcare,healthcare,financials,healthcare,consumer staples,healthcare,technology
internet content & information,internet content & information,discount stores,internet content & information,publishing,auto manufacturers,communication services,communication services,consumer staples,communication services,communication services,communication services,consumer discretionary
discount stores,discount stores,internet content & information,discount stores,consulting services,capital markets,consumer staples,consumer staples,communication services,consumer staples,industrials,consumer staples,financials
banks,banks,drug manufacturers—general,banks,utilitiesdiversified,auto manufacturers,financials,financials,healthcare,financials,utilities,financials,consumer discretionary
household & personal products,household & personal products,diagnostics & research,household & personal products,financial data & stock exchanges,medical devices,consumer staples,consumer staples,healthcare,consumer staples,financials,consumer staples,healthcare
consumer electronics,consumer electronics,drug manufacturers—general,consumer electronics,insuranceproperty & casualty,insurance—diversified,technology,technology,healthcare,technology,financials,technology,financials
luxury goods,luxury goods,other industrial metals & mining,luxury goods,telecom services,software—application,consumer discretionary,consumer discretionary,basic materials,consumer discretionary,communication services,consumer discretionary,technology
credit services,credit services,footwear & accessories,credit services,banks,apparel retail,financials,financials,consumer discretionary,financials,financials,financials,consumer discretionary
banks,banks,medical devices,banks,insurancelife,financial data & stock exchanges,financials,financials,healthcare,financials,financials,financials,financials
drug manufacturers—general,drug manufacturers—general,telecom services,drug manufacturers—general,restaurants,oil & gas e&p,healthcare,healthcare,communication services,healthcare,consumer discretionary,healthcare,energy
oil & gas integrated,oil & gas integrated,entertainment,oil & gas integrated,banks,banks,energy,energy,communication services,energy,financials,energy,financials
beverages—wineries & distilleries,beverages—wineries & distilleries,information technology services,beverages—wineries & distilleries,banks,biotechnology,consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,healthcare
home improvement retail,home improvement retail,household & personal products,home improvement retail,industrial distribution,drug manufacturers—general,consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,industrials,consumer discretionary,healthcare
oil & gas integrated,oil & gas integrated,software—infrastructure,oil & gas integrated,aerospace & defense,medical instruments & supplies,energy,energy,technology,energy,industrials,energy,healthcare
drug manufacturers—general,drug manufacturers—general,diagnostics & research,drug manufacturers—general,insurance brokers,banks,healthcare,healthcare,healthcare,healthcare,financials,healthcare,financials
drug manufacturers—general,drug manufacturers—general,communication equipment,drug manufacturers—general,rental & leasing services,semiconductor equipment & materials,healthcare,healthcare,technology,healthcare,industrials,healthcare,technology
internet retail,internet retail,beverages—non-alcoholic,internet retail,grocery stores,utilities—regulated electric,consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,consumer staples,consumer discretionary,utilities
semiconductor equipment & materials,semiconductor equipment & materials,entertainment,semiconductor equipment & materials,telecom services,oil & gas integrated,technology,technology,communication services,technology,communication services,technology,energy
beverages—non-alcoholic,beverages—non-alcoholic,banks,beverages—non-alcoholic,utilitiesdiversified,utilities—independent power producers,consumer staples,consumer staples,financials,consumer staples,utilities,consumer staples,utilities
drug manufacturers—general,drug manufacturers—general,biotechnology,drug manufacturers—general,beveragesnon-alcoholic,luxury goods,healthcare,healthcare,healthcare,healthcare,consumer staples,healthcare,consumer discretionary
semiconductors,semiconductors,software—application,semiconductors,farm & heavy construction machinery,banks,technology,technology,technology,technology,industrials,technology,financials
discount stores,discount stores,semiconductors,discount stores,insurancelife,semiconductor equipment & materials,consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,technology
biotechnology,biotechnology,farm & heavy construction machinery,biotechnology,reitindustrial,banks,healthcare,healthcare,industrials,healthcare,real estate,healthcare,financials
banks,banks,drug manufacturers—general,banks,banks,medical instruments & supplies,financials,financials,healthcare,financials,financials,financials,healthcare
entertainment,entertainment,credit services,entertainment,tobacco,reit—specialty,communication services,communication services,financials,communication services,consumer staples,communication services,real estate
beverages—non-alcoholic,beverages—non-alcoholic,software—application,beverages—non-alcoholic,insurancediversified,banks,consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,financials
communication equipment,communication equipment,insurance—life,communication equipment,specialty chemicals,medical care facilities,technology,technology,financials,technology,basic materials,technology,healthcare
diagnostics & research,diagnostics & research,healthcare plans,diagnostics & research,asset management,chemicals,healthcare,healthcare,healthcare,healthcare,financials,healthcare,basic materials
software—infrastructure,software—infrastructure,oil & gas e&p,software—infrastructure,copper,software—application,technology,technology,energy,technology,basic materials,technology,technology
household & personal products,household & personal products,specialty industrial machinery,household & personal products,asset management,healthcare plans,consumer staples,consumer staples,industrials,consumer staples,financials,consumer staples,healthcare
information technology services,information technology services,oil & gas integrated,information technology services,packaged foods,banks,technology,technology,energy,technology,consumer staples,technology,financials
entertainment,entertainment,telecom services,entertainment,advertising agencies,semiconductors,communication services,communication services,communication services,communication services,communication services,communication services,technology
telecom services,telecom services,banks,telecom services,medical devices,insurance brokers,communication services,communication services,financials,communication services,healthcare,communication services,financials
medical devices,medical devices,banks,medical devices,entertainment,financial data & stock exchanges,healthcare,healthcare,financials,healthcare,communication services,healthcare,financials
footwear & accessories,footwear & accessories,drug manufacturers—general,footwear & accessories,food distribution,other industrial metals & mining,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,consumer staples,consumer discretionary,basic materials
other industrial metals & mining,other industrial metals & mining,home improvement retail,other industrial metals & mining,specialty business services,asset management,basic materials,basic materials,consumer discretionary,basic materials,industrials,basic materials,financials
drug manufacturers—general,drug manufacturers—general,insurance—life,drug manufacturers—general,lodging,asset management,healthcare,healthcare,financials,healthcare,consumer discretionary,healthcare,financials
