08-slytherin-industry,00-avengers-company_business,04-iGMM-company_business
"['technology', 'mobiles & accessories', 'electronics', 'consumer electronics', 'computers hardware', 'software and it', 'music', 'tablets', 'technology hardware and instruments', 'retail', 'artificial intelligence', 'laptops', 'software products']","['technology', 'mobiles & accessories', 'electronics', 'consumer electronics', 'computers hardware', 'software and it', 'music', 'tablets', 'technology hardware and instruments', 'retail', 'artificial intelligence', 'laptops', 'software products']","['technology', 'mobiles & accessories', 'electronics']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'processors / chips']","['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'processors / chips']","['technology', 'software and it', 'laptops']"
"['technology', 'software and it', 'laptops', 'video games / mobile games / tech games / casino games', 'gaming', 'internet or mobile app based business', 'computers hardware', 'tablets', 'cloud services', 'artificial intelligence', 'internet of things', 'media', 'electronics', 'consumer electronics', 'advertising']","['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'computers hardware', 'video games / mobile games / tech games / casino games', 'artificial intelligence']","['energy', 'oil and gas', 'chemicals']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'computers hardware', 'video games / mobile games / tech games / casino games', 'artificial intelligence']","['financial services', 'investments', 'insurance']","['technology', 'internet or mobile app based business', 'software and it']"
"['ecommerce', 'internet or mobile app based business', 'cloud services', 'software and it', 'artificial intelligence', 'technology', 'consulting services', 'consumer services', 'software products', 'retail']","['communication services', 'internet or mobile app based business', 'social media', 'artificial intelligence', 'internet of things', 'advertising', 'technology', 'media', 'software and it', 'software products']","['ecommerce', 'internet or mobile app based business', 'cloud services']"
"['energy', 'oil and gas', 'chemicals', 'oil refining', 'oil and gas pipeline transport', 'integrated oil and gas companies']","['electric vehicles', 'cars', 'automobile', 'solar power devices', 'capital goods', 'power equipment', 'technology', 'passenger vehicles', 'batteries', 'electric vehicle charging station']","['electric vehicles', 'cars', 'automobile']"
"['financial services', 'investments', 'insurance']","['ecommerce', 'internet or mobile app based business', 'cloud services', 'software and it', 'artificial intelligence', 'technology', 'consulting services', 'consumer services', 'software products', 'retail']","['communication services', 'internet or mobile app based business', 'social media']"
"['technology', 'internet or mobile app based business', 'software and it', 'software products', 'cloud services', 'artificial intelligence', 'internet of things', 'gaming', 'video games / mobile games / tech games / casino games', 'advertising', 'media']","['technology', 'internet or mobile app based business', 'software and it', 'software products', 'cloud services', 'artificial intelligence', 'internet of things', 'gaming', 'video games / mobile games / tech games / casino games', 'advertising', 'media']","['financial services', 'investments', 'insurance']"
"['electric vehicles', 'cars', 'automobile', 'solar power devices', 'capital goods', 'power equipment', 'technology', 'passenger vehicles', 'batteries', 'electric vehicle charging station']","['energy', 'oil and gas', 'chemicals', 'oil refining', 'oil and gas pipeline transport', 'integrated oil and gas companies']","['technology', 'semiconductors', 'electronics']"
"['communication services', 'internet or mobile app based business', 'social media', 'artificial intelligence', 'internet of things', 'advertising', 'technology', 'media', 'software and it', 'software products']","['technology', 'software and it', 'laptops', 'video games / mobile games / tech games / casino games', 'gaming', 'internet or mobile app based business', 'computers hardware', 'tablets', 'cloud services', 'artificial intelligence', 'internet of things', 'media', 'electronics', 'consumer electronics', 'advertising']","['technology', 'semiconductors', 'electronics']"
"['technology', 'electronics', 'semiconductors', 'mobiles & accessories', 'cameras & accessories', 'tablets', 'home appliances', 'refrigerators', 'air conditioners', 'washing machines', ""tv's"", 'consumer electronics']","['retail', 'super markets', 'ecommerce', 'hypermarkets', 'consumer services']","['communication services', 'investments', 'internet or mobile app based business']"
"['retail', 'super markets', 'ecommerce', 'hypermarkets', 'consumer services']","['financial services', 'banking services', 'investment banking', 'insurance', 'credit cards', 'wealth management', 'asset management', 'mortgage']","['financial services', 'banking services', 'credit cards']"
"['retail', 'ecommerce', 'construction materials', 'consumer services']","['fashion and luxury goods', 'non-alcoholic beverages', 'clothing', 'jewellery', 'watches', 'fmcg', 'luxury goods', 'consumer goods', 'beverages']","['financial services', 'technology', 'software and it']"
"['fashion and luxury goods', 'non-alcoholic beverages', 'clothing', 'jewellery', 'watches', 'fmcg', 'luxury goods', 'consumer goods', 'beverages']","['retail', 'ecommerce', 'construction materials', 'consumer services']","['healthcare', 'medical equipment', 'pharmaceutical']"
